instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
BTC-21FEB24-52500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294191,BTC,1,0.0001,52500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-52500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294192,BTC,1,0.0001,52500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-52750-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70842E+12,294685,BTC,1,0.0001,52750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:10,21/2/2024 8:00,,
BTC-21FEB24-52750-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70842E+12,294686,BTC,1,0.0001,52750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:10,21/2/2024 8:00,,
BTC-21FEB24-53000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294193,BTC,1,0.0001,53000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-53000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294194,BTC,1,0.0001,53000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-53500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294195,BTC,1,0.0001,53500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-53500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294196,BTC,1,0.0001,53500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-54000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294197,BTC,1,0.0001,54000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-54000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294198,BTC,1,0.0001,54000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
