Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,74.39,0,0,0,0,0.1675,0.1135,,0.139922,ETH-26FEB24-2550-C,0.1401,2963.17,open,1.71E+12,0.12817,-0.26525,0.01311,4.00E-05,0.99804,0,0,,,,2550,26/2/2024 16:00,1,2961.23,put,0,414.868323,0,52:16.1
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,73.44,0,0,0,10,0.152,0.0965,0.1199,0.123141,ETH-26FEB24-2600-C,0.1233,2963.17,open,1.71E+12,0.13017,-0.65192,0.03265,0.0001,0.99459,3537.93,10,0,0.1199,0.1199,2600,26/2/2024 16:00,1,2961.23,put,0,365.119659,0,52:16.1
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,62.82,0,0,0,10,0.135,0.079,0.1026,0.106258,ETH-26FEB24-2650-C,0.1064,2963.17,open,1.71E+12,0.13268,-0.56382,0.03301,0.00012,0.99452,3027.45,10,0,0.1026,0.1026,2650,26/2/2024 16:00,1,2961.23,put,0,315.074872,0,52:16.1
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,53.54,0,0,0,0,0.118,0.0615,,0.089476,ETH-26FEB24-2700-C,0.0896,2963.17,open,1.71E+12,0.13505,-0.55656,0.03823,0.00016,0.99354,0,0,,,,2700,26/2/2024 16:00,1,2961.23,put,0,265.326208,0,52:16.1
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,47.72,0,0,0,0,0.1015,0.044,,0.072707,ETH-26FEB24-2750-C,0.0728,2963.17,open,1.71E+12,0.13667,-0.88028,0.06785,0.00032,0.98756,0,0,,,,2750,26/2/2024 16:00,1,2961.23,put,0,215.577544,0,52:16.1
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,42.65,0,0,0,10,0.0855,0.027,0.0522,0.056159,ETH-26FEB24-2800-C,0.0561,2963.17,open,1.71E+12,0.13683,-1.5698,0.13536,0.00072,0.97197,1540.28,10,0,0.0522,0.0522,2800,26/2/2024 16:00,1,2961.23,put,0,166.125003,0,52:16.1
24/2/2024,10,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,39.47,0.0005,0,0,5,0.0775,0.0185,0.0405,0.048086,ETH-26FEB24-2825-C,0.0478,2963.17,open,1.71E+12,0.1362,-1.96652,0.18323,0.00105,0.9595,0,0,,,,2825,26/2/2024 16:00,1,2961.23,put,0.00025,141.546794,0.7403075,52:16.1
24/2/2024,3,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,37.11,0.0215,0,0,10,0.0695,0.0105,0.0366,0.040221,ETH-26FEB24-2850-C,0.0397,2963.17,open,1.71E+12,0.13387,-2.67009,0.26462,0.00161,0.93571,1079.97,10,0,0.0366,0.0366,2850,26/2/2024 16:00,1,2961.23,put,0.01075,117.560831,31.8332225,52:16.1
24/2/2024,3,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,35.58,0.014,0,0,0,0.062,0.0045,,0.032748,ETH-26FEB24-2875-C,0.0318,2963.17,open,1.71E+12,0.12853,-3.77485,0.39019,0.00248,0.89215,0,0,,,,2875,26/2/2024 16:00,1,2961.23,put,0.007,94.167114,20.72861,52:16.1
24/2/2024,3,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,34.23,0.006,0,0,12,0.0545,0.0013,0.0239,0.025874,ETH-26FEB24-2900-C,0.0244,2963.17,open,1.71E+12,0.11942,-5.07216,0.54504,0.00359,0.82374,747.82,12,16.5854,0.019,0.0239,2900,26/2/2024 16:00,1,2961.23,put,0.003,72.254012,8.88369,52:16.1
24/2/2024,840,1,2963.17,17.8,42.61,SYN.ETH-26FEB24,2965.3672,33.95,0.0145,0.02,0,268,0.048,0.0003,0.0175,0.019755,ETH-26FEB24-2925-C,0.0179,2963.17,open,1.71E+12,0.10479,-6.54915,0.70938,0.00472,0.7193,18162.87,345,-10.2564,0.0125,0.02,2925,26/2/2024 16:00,1,2961.23,put,0.01725,53.006017,51.0812175,52:16.1
